Case,Sample_ID,Sample_Code,Site_ID,Batch,Sample_type,Site.name,Pond,Pond_L,Site_type,Time_point,Month,Date,Time,Temp.C,pH,ORP_mV,EC.uS.cm,DO,Ca,K,Mg,Na,Cl,NO3,SO4,6_Li,7_Li,7_Li_He,9_Be,11_B,27_Al,45_Sc,47_Ti_,51_V_He,52_Cr_He,55_Mn,56_Fe_He,59_Co,60_Ni,63_Cu,68_Zn,65_Ga,74_Ge,75_As_He,78_Se,85_Rb,88_Sr,89_Y,90_Zr,93_Nb,97_Mo,98_Mo,111_Cd,114_Cd,115_In,123_Sb,125_Te,133_Cs,135_Ba,139_La,140_Ce,141_Pr,146_Nd,147_Sm,153_Eu,157_Gd,159_Tb,163_Dy,165_Ho,166_Er,169_Tm,172_Yb,175_Lu,181_Ta,182_W,200_Hg,201_Hg,202_Hg,205_Tl,206_Pb,207_Pb,209_Bi,232_Th,238_U
1,SGG1,1,1,1,Sample,Ynysarwed,6,six,FeOB-rich,1,April,42472,0.440972222,13.2,6.12,,1558,35.3,3.58051799,0.457820417,2.149763423,2.93608853,0.345530806,0.034997212,8.280972189,0.016714734,0.013177041,0.012416797,4.36E-05,0.004194776,0.003020055,2.53E-05,1.00E-05,0,0,0.029238485,1.401179166,0.000177447,0.000604437,0,0.000275458,3.27E-06,0,0.000546659,7.27E-06,9.90E-05,0.012670849,1.80E-05,0,3.68E-06,1.06E-05,1.06E-05,1.41E-07,0,0,1.03E-07,6.89E-07,1.20E-06,7.76E-05,7.36E-07,2.01E-06,3.11E-07,1.59E-06,3.90E-07,1.48E-07,9.04E-07,1.73E-07,9.96E-07,2.40E-07,6.60E-07,8.99E-08,4.19E-07,8.12E-08,9.68E-08,3.78E-07,1.11E-06,1.05E-06,1.05E-06,6.09E-08,0,0,0,8.22E-07,4.66E-07
2,SGG2,2,1,1,Sample,Ynysarwed,6,six,FeOB-rich,2,April,42472,0.454861111,13,6.19,,1568,35.6,3.106442437,0.465493385,2.131248714,2.82734451,0.34383841,0.032900604,8.442323627,0.015810922,0.012603752,0.012999196,4.82E-05,0.00396704,0.004314104,2.35E-05,6.55E-06,0,0,0.029498823,1.400485219,0.000177345,0.000606052,0,0.000239418,3.13E-06,0,0.000563764,8.01E-06,9.91E-05,0.013137133,2.36E-05,0,1.98E-06,1.05E-05,1.06E-05,5.21E-08,0,0,1.09E-07,4.01E-07,1.12E-06,7.83E-05,9.21E-07,2.91E-06,4.91E-07,2.41E-06,6.70E-07,2.44E-07,1.49E-06,2.74E-07,1.63E-06,3.53E-07,1.00E-06,1.35E-07,7.02E-07,1.14E-07,0,0,6.08E-07,5.22E-07,5.41E-07,0,0,0,0,0,4.80E-07
3,SGG3,3,1,1,Sample,Ynysarwed,6,six,FeOB-rich,3,April,42472,0.46875,13,6.14,,1573,35,3.056539747,0.452705105,2.114791195,2.762098098,0.344402542,0.034190824,8.541216444,0.01553484,0.012437922,0.012079829,4.60E-05,0.004017986,0.004750345,2.27E-05,8.84E-06,0,0,0.028818167,1.39253064,0.000174003,0.000597413,0,0.000234597,3.15E-06,0,0.000564985,7.28E-06,0.000100312,0.013136074,2.31E-05,0,1.29E-06,1.08E-05,1.18E-05,1.79E-08,0,0,1.58E-07,5.31E-07,1.12E-06,7.95E-05,9.15E-07,2.96E-06,4.74E-07,2.42E-06,5.99E-07,2.20E-07,1.55E-06,2.53E-07,1.56E-06,3.43E-07,1.01E-06,1.19E-07,6.46E-07,1.04E-07,0,0,4.02E-07,3.75E-07,3.91E-07,0,0,0,0,0,4.80E-07
4,SGG4,4,2,1,Sample,Glyncastle,8,eight,FeOB-rich,1,April,42472,0.496527778,12.4,5.81,,1270,15,2.619891212,0.378533082,1.826784612,2.018289004,0.276988777,0.032578049,6.631023614,0.0121151,0.009741406,0.00989072,9.63E-06,0.004097602,0,1.13E-05,0,0,0,0.029709261,0.282508791,0.000467867,0.000791964,0,0.000432443,4.94E-06,0,2.24E-05,4.85E-06,9.77E-05,0.016043276,3.67E-06,0,8.13E-07,4.60E-07,0,1.63E-07,0,0,4.98E-07,6.06E-07,7.41E-07,0.000122006,3.06E-07,4.45E-07,4.82E-08,2.70E-07,5.50E-09,4.44E-08,1.07E-07,1.73E-08,1.23E-07,2.98E-08,6.97E-08,7.14E-09,5.38E-08,7.81E-09,0,0,2.51E-07,2.46E-07,2.42E-07,1.64E-07,0,0,0,0,2.92E-07
5,SGG5,5,2,1,Sample,Glyncastle,8,eight,FeOB-rich,2,April,42472,0.509027778,12.4,5.78,,1276,14.2,2.619891212,0.383648394,1.894671878,2.040037808,0.278399106,0.02741717,6.604999188,0.012060107,0.009631439,0.009846169,9.76E-06,0.004165522,8.82E-05,1.16E-05,6.14E-07,0,0,0.030719666,0.279755563,0.000471785,0.000814287,0,0.000266202,5.13E-06,0,2.22E-05,5.97E-06,9.96E-05,0.016562184,3.59E-06,0,6.57E-07,3.76E-07,1.07E-06,1.67E-07,4.03E-08,0,4.96E-08,5.53E-07,7.88E-07,0.000125618,3.26E-07,4.78E-07,4.30E-08,1.88E-07,2.28E-08,4.58E-08,1.07E-07,1.69E-08,1.17E-07,2.81E-08,7.08E-08,7.59E-09,5.70E-08,1.20E-08,0,0,2.44E-07,2.27E-07,2.31E-07,1.52E-07,0,0,0,0,3.11E-07
6,SGG6,6,2,1,Sample,Glyncastle,8,eight,FeOB-rich,3,April,42472,0.521527778,12.4,5.81,,1274,14.3,2.50761016,0.393879018,1.86381403,2.061786612,0.262885478,0.027578448,6.693482235,0.011361485,0.009546332,0.009678805,9.37E-06,0.003987612,0.000117968,1.04E-05,5.95E-07,0,0,0.029226526,0.279736648,0.000464359,0.000783094,0,0.000255512,4.77E-06,0,2.15E-05,5.93E-06,9.74E-05,0.016284949,3.57E-06,0,5.80E-07,3.66E-07,0,2.34E-07,3.94E-08,0,5.37E-08,5.34E-07,7.26E-07,0.000121124,3.39E-07,4.25E-07,5.17E-08,1.80E-07,1.55E-08,3.83E-08,1.03E-07,1.78E-08,1.37E-07,2.68E-08,7.09E-08,9.04E-09,5.17E-08,8.05E-09,0,0,2.38E-07,1.97E-07,2.12E-07,1.45E-07,0,0,0,0,2.84E-07
7,SGG7,7,3,1,Sample,Morlais,3,three,FeOB-rich,1,April,42472,0.586805556,13.8,6.32,,827.4,28,1.696691452,0.631741022,1.141740383,3.819089969,0.403072262,0.022417569,3.054226575,0.008069015,0.006613888,0.006799295,1.75E-06,0.002209548,0,7.68E-06,0,0,0,0.010349118,0.252901818,1.77E-05,2.57E-05,0,0,1.06E-05,0,1.12E-05,1.04E-05,0.000114758,0.006918907,6.45E-07,0,2.56E-07,1.19E-06,5.86E-07,0,0,0,2.92E-08,3.77E-07,1.11E-06,0.000245734,1.12E-07,1.93E-07,2.63E-08,8.73E-08,0,6.50E-08,3.29E-08,4.23E-09,3.09E-08,6.86E-09,1.79E-08,3.31E-09,2.12E-08,3.18E-09,0,0,1.76E-07,1.65E-07,1.57E-07,0,0,0,0,0,1.23E-06
8,SGG8,8,3,1,Sample,Morlais,3,three,FeOB-rich,2,April,42472,0.597222222,13.8,6.67,,828,12,1.671740107,0.688009453,1.139683193,3.849538295,0.415201099,0.022901401,3.601780487,0.00792766,0.006570791,0.006266231,1.68E-06,0.002215384,0,7.97E-06,0,0,0,0.01038297,0.253719262,1.78E-05,2.49E-05,0,0,1.07E-05,0,1.21E-05,9.96E-06,0.000113535,0.006854494,6.25E-07,0,1.95E-07,1.25E-06,1.29E-06,0,0,0,2.78E-08,1.19E-07,1.14E-06,0.000244463,1.05E-07,2.14E-07,2.12E-08,8.71E-08,0,6.67E-08,4.41E-08,6.62E-09,2.88E-08,7.44E-09,1.63E-08,8.83E-10,1.43E-08,3.48E-09,0,0,1.91E-07,1.82E-07,1.60E-07,0,0,0,0,0,1.21E-06
9,SGG9,9,3,1,Sample,Morlais,3,three,FeOB-rich,3,April,42472,0.607638889,14,6.96,,829.3,16.7,1.684215779,0.634298678,1.141740383,3.758193318,0.422252748,0.022256291,3.119808127,0.008086663,0.006685518,0.006176165,1.68E-06,0.002239705,0,8.29E-06,0,0,0,0.010519207,0.255256494,1.81E-05,2.78E-05,0,0,1.12E-05,0,1.23E-05,1.16E-05,0.000115418,0.006977956,6.70E-07,0,7.77E-08,1.20E-06,1.73E-06,0,0,0,1.65E-08,2.72E-07,1.56E-06,0.000251765,1.38E-07,2.55E-07,2.81E-08,1.29E-07,3.18E-09,6.26E-08,5.32E-08,7.08E-09,3.06E-08,7.27E-09,1.85E-08,2.84E-09,1.98E-08,2.92E-09,0,0,1.57E-07,1.61E-07,1.26E-07,0,0,0,5.26E-09,0,1.20E-06
10,SGG10,10,4,1,Sample,Lindsay,2,two,FeOB-rich,1,April,42472,0.642361111,15.1,6.75,,1200,0.8,1.372323968,1.388807186,1.501748611,4.184469875,0.457793059,0.022578846,1.871676681,0.005616582,0.00471199,0.004387579,4.16E-06,0.002326385,0,1.19E-05,7.35E-07,0,0,0.010729906,0.308231275,6.23E-06,1.14E-05,0,0,1.74E-05,6.89E-08,5.12E-05,1.16E-05,0.000288459,0.004210824,8.47E-07,0,0,6.14E-06,4.78E-06,0,0,0,2.39E-08,1.79E-07,3.97E-06,0.000363043,8.40E-08,1.54E-07,1.89E-08,8.74E-08,4.22E-09,9.01E-08,6.33E-08,8.51E-09,4.16E-08,1.14E-08,4.13E-08,4.60E-09,2.81E-08,4.86E-09,0,0,5.89E-08,3.98E-08,4.08E-08,0,0,0,0,0,1.11E-06
